api,lat NAD83,long NAD83
17734507,29.419537,-97.605830
17734510,29.381660,-97.555019
05134361,30.467611,-96.622214
28732763,30.237307,-96.771460
14933544,30.052076,-96.819444
05134359,30.496736,-96.660464
05134360,30.494368,-96.664500
05134362,30.464652,-96.625714
05134370,30.455937,-96.669440
05134371,30.453381,-96.675777
