api,lat NAD83,long NAD83
33135116,30.747053,-96.912850
33135117,30.748777,-96.913556
47731197,30.198338,-96.628972
18733698,29.692719,-97.752621
49130494,30.680961,-97.294584
17734477,29.201063,-97.582074
17734478,29.202521,-97.582380
17734479,29.203958,-97.582390
17734480,29.205209,-97.582570
17734481,29.603191,-97.143688
05134368,30.456977,-96.633399
05134369,30.460533,-96.627994
49130495,30.682179,-97.294006
17734482,29.604227,-97.141279
33135118,30.623756,-97.186886
47731197,30.198338,-96.628972
47731198,30.200664,-96.628187
47731199,30.205094,-96.629952
14933539,29.761646,-97.260415
14933537,30.051185,-96.870522
14933538,30.083682,-96.893010
18733699,29.624835,-97.689528
